"MacroTrends Data Download"
"Gold Prices: Daily Closing Values"

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


Date,"Closing Value"
2023-08-17,1891.1041
2023-08-18,1889.5322
2023-08-21,1893.9697
2023-08-22,1897.4942
2023-08-23,1916.7181
2023-08-24,1916.4000
2023-08-25,1914.8000
2023-08-28,1920.8000
2023-08-29,1935.7000
2023-08-30,1942.0769
2023-08-31,1939.8281
2023-09-01,1939.8074
2023-09-04,1937.8737
2023-09-05,1926.7786
2023-09-06,1915.7544
2023-09-07,1919.2429
2023-09-08,1919.0651
2023-09-11,1921.1000
2023-09-12,1912.8000
2023-09-13,1908.3985
2023-09-14,1909.5000
2023-09-15,1923.9751
2023-09-18,1934.0997
2023-09-19,1930.6510
2023-09-20,1929.4298
2023-09-21,1920.7000
2023-09-22,1924.8000
2023-09-25,1915.0000
2023-09-26,1901.0703
2023-09-27,1876.3863
2023-09-28,1865.7358
2023-09-29,1848.4898
2023-10-02,1825.8402
2023-10-03,1822.6000
2023-10-04,1822.6276
2023-10-05,1821.3811
2023-10-06,1832.3056
2023-10-09,1862.3528
2023-10-10,1859.4000
2023-10-11,1875.2827
2023-10-12,1870.0000
2023-10-13,1932.5000
2023-10-16,1919.4009
2023-10-17,1923.9000
2023-10-18,1949.3089
2023-10-19,1976.2423
2023-10-20,1981.1286
2023-10-23,1972.3933
2023-10-24,1972.3230
2023-10-25,1979.8811
2023-10-26,1984.3613
2023-10-27,2005.6000
2023-10-30,1996.0976
2023-10-31,1984.0109
2023-11-01,1984.4608
2023-11-02,1984.1135
2023-11-03,1992.2804
2023-11-06,1977.7347
2023-11-07,1967.0000
2023-11-08,1948.2094
2023-11-09,1958.3190
2023-11-10,1938.0840
2023-11-13,1945.8226
2023-11-14,1962.9172
2023-11-15,1959.3275
2023-11-16,1980.8000
2023-11-17,1980.9275
2023-11-20,1973.3863
2023-11-24,2001.4347
2023-11-27,2001.9000
2023-11-28,2014.4000
2023-11-29,2043.7000
2023-11-30,2044.8957
2023-12-01,2039.4000
2023-12-04,2115.1000
2023-12-05,2032.5466
2023-12-06,2017.6000
2023-12-07,2028.3244
2023-12-08,2004.3314
2023-12-11,1981.5917
2023-12-12,1979.4815
2023-12-13,2027.3670
2023-12-14,2036.3925
2023-12-15,2019.9096
2023-12-18,2027.2215
2023-12-19,2040.2438
2023-12-20,2031.5913
2023-12-21,2045.9144
2023-12-22,2053.2469
2023-12-25,2054.4562
2023-12-26,2067.8311
2023-12-27,2077.2185
2023-12-28,2065.3903
2023-12-29,2062.9233
2024-01-01,2064.6056
2024-01-02,2059.0028
2024-01-03,2041.3704
2024-01-04,2043.4165
2024-01-05,2045.6298
2024-01-08,2028.2268
2024-01-09,2030.1188
2024-01-10,2024.3192
2024-01-11,2028.6239
2024-01-12,2049.1740
2024-01-15,2054.7720
2024-01-16,2028.4449
2024-01-17,2006.3300
2024-01-18,2023.1038
2024-01-19,2029.6244
2024-01-22,2021.7173
2024-01-23,2029.1878
2024-01-24,2014.0865
2024-01-25,2020.8981
2024-01-26,2018.5729
2024-01-29,2032.4088
2024-01-30,2036.7646
2024-01-31,2039.1538
2024-02-01,2054.7804
2024-02-02,2039.5759
2024-02-05,2024.8776
2024-02-06,2035.9405
2024-02-07,2035.0269
2024-02-08,2034.2279
2024-02-09,2024.3591
2024-02-12,2020.1173
2024-02-13,1992.8894
2024-02-14,1992.0557
2024-02-15,2004.0683
2024-02-16,2013.1418
2024-02-19,2017.9517
2024-02-20,2024.3222
2024-02-21,2026.0469
2024-02-22,2024.3489
2024-02-23,2035.4784
2024-02-26,2031.3003
2024-02-27,2030.4919
2024-02-28,2034.4990
2024-02-29,2044.1997
2024-03-01,2082.6413
2024-03-04,2114.2934
2024-03-05,2127.8362
2024-03-06,2148.1446
2024-03-07,2159.9135
2024-03-08,2178.8819
2024-03-11,2183.4919
2024-03-12,2157.1762
2024-03-13,2175.3767
2024-03-14,2161.7789
2024-03-15,2156.0553
2024-03-18,2160.0768
2024-03-19,2157.4880
2024-03-20,2205.4267
2024-03-21,2181.5104
2024-03-22,2165.4677
2024-03-25,2171.8451
2024-03-26,2179.6037
2024-03-27,2194.7874
2024-03-28,2231.5562
2024-03-29,2231.5551
2024-04-01,2251.2079
2024-04-02,2280.7098
2024-04-03,2297.4140
2024-04-04,2289.4560
2024-04-05,2330.0383
2024-04-08,2338.6944
2024-04-09,2354.4258
2024-04-10,2333.3847
2024-04-11,2335.2319
2024-04-12,2376.4428
2024-04-15,2364.0634
2024-04-16,2382.1406
2024-04-17,2382.5436
2024-04-18,2367.7213
2024-04-19,2379.8644
2024-04-22,2386.5964
2024-04-23,2333.4881
2024-04-24,2323.8790
2024-04-25,2316.5469
2024-04-26,2330.9140
2024-04-29,2336.3899
2024-04-30,2285.9886
2024-05-01,2322.5042
2024-05-02,2303.9550
2024-05-03,2302.0974
2024-05-06,2323.9492
2024-05-07,2314.0702
2024-05-08,2308.4079
2024-05-09,2347.2415
2024-05-10,2360.5059
2024-05-13,2336.3312
2024-05-14,2355.6516
2024-05-15,2391.6436
2024-05-16,2378.4126
2024-05-17,2414.3276
2024-05-20,2426.5278
2024-05-21,2421.1785
2024-05-22,2378.8228
2024-05-23,2328.6167
2024-05-24,2334.1063
2024-05-27,2351.5220
2024-05-28,2361.3308
2024-05-29,2338.3608
2024-05-30,2343.2566
2024-05-31,2327.2836
2024-06-03,2350.6541
2024-06-04,2328.7821
2024-06-05,2355.1467
2024-06-06,2375.8613
2024-06-07,2293.7792
2024-06-10,2310.9258
2024-06-11,2316.8528
2024-06-12,2324.6299
2024-06-13,2302.5877
2024-06-14,2332.8294
2024-06-17,2320.7941
2024-06-18,2328.6574
2024-06-19,2329.4114
2024-06-20,2360.0129
2024-06-21,2321.4407
2024-06-24,2334.1581
2024-06-25,2319.5667
2024-06-26,2298.6141
2024-06-27,2327.7738
2024-06-28,2326.7177
2024-07-01,2332.2255
2024-07-02,2329.4928
2024-07-03,2356.2677
2024-07-04,2357.1508
2024-07-05,2392.1342
2024-07-08,2359.0970
2024-07-09,2365.2041
2024-07-10,2372.6481
2024-07-11,2415.3948
2024-07-12,2411.1695
2024-07-15,2422.3281
2024-07-16,2469.0230
2024-07-17,2461.3476
2024-07-18,2443.5700
2024-07-19,2400.6722
2024-07-22,2395.9441
2024-07-23,2409.5544
2024-07-24,2397.8659
2024-07-25,2364.2674
2024-07-26,2386.8314
2024-07-29,2381.5790
2024-07-30,2409.6734
2024-07-31,2447.3573
2024-08-01,2446.3755
2024-08-02,2442.1993
2024-08-05,2409.7344
2024-08-06,2389.8632
2024-08-07,2384.9557
2024-08-08,2424.5422
2024-08-09,2431.1646
2024-08-12,2472.1573
2024-08-13,2465.1186
2024-08-14,2448.0583
2024-08-15,2457.2349
2024-08-16,2508.1389
2024-08-19,2504.2071
2024-08-20,2514.0630
2024-08-21,2512.3987
2024-08-22,2487.0611
2024-08-23,2512.4492
2024-08-26,2516.6096
2024-08-27,2525.8553
2024-08-28,2504.5269
2024-08-29,2519.5644
2024-08-30,2503.3796
2024-09-02,2499.4314
2024-09-03,2492.9512
2024-09-04,2495.6607
2024-09-05,2516.7110
2024-09-06,2497.4214
2024-09-09,2506.9568
2024-09-10,2518.3874
2024-09-11,2512.3892
2024-09-12,2558.1565
2024-09-13,2578.9480
2024-09-16,2583.7957
2024-09-17,2569.6372
2024-09-18,2559.3055
2024-09-19,2587.3255
2024-09-20,2622.2836
2024-09-23,2626.3504
2024-09-24,2657.7793
2024-09-25,2657.0729
2024-09-26,2672.3320
2024-09-27,2658.4609
